modelversion,watershedID,iteration,calib_kge,valid_kge
0,1,1,0.805807,0.518804
0,1,2,0.792682,0.50402
0,1,3,0.846939,0.56261
0,1,4,0.80381,0.509999
0,1,5,0.799356,0.507768
0,1,6,0.848748,0.583316
0,1,7,0.799125,0.500816
0,1,8,0.798088,0.520406
0,1,9,0.795782,0.498522
0,1,10,0.800006,0.519874
0,1,11,0.786321,0.509855
0,1,12,0.845893,0.550202
0,1,13,0.818577,0.534085
0,1,14,0.810272,0.504107
0,1,15,0.784078,0.512004
0,1,16,0.801546,0.524956
0,1,17,0.860113,0.590043
0,1,18,0.797502,0.532696
0,1,19,0.854375,0.597172
0,1,20,0.841735,0.52358
0,2,1,0.896967,0.779466
0,2,2,0.88462,0.770699
0,2,3,0.883162,0.762858
0,2,4,0.886577,0.773869
0,2,5,0.891516,0.773993
0,2,6,0.890543,0.774073
0,2,7,0.885691,0.769326
0,2,8,0.89117,0.770395
0,2,9,0.890576,0.77278
0,2,10,0.901857,0.780519
0,2,11,0.893377,0.76507
0,2,12,0.899755,0.782562
0,2,13,0.882581,0.764634
0,2,14,0.903195,0.78973
0,2,15,0.886698,0.771629
0,2,16,0.893414,0.768688
0,2,17,0.900496,0.784496
0,2,18,0.90273,0.785971
0,2,19,0.88491,0.7705
0,2,20,0.90094,0.786722
0,3,1,0.840701,0.768027
0,3,2,0.824861,0.754263
0,3,3,0.824075,0.761682
0,3,4,0.823518,0.754434
0,3,5,0.832251,0.769358
0,3,6,0.834886,0.767643
0,3,7,0.840394,0.776853
0,3,8,0.842039,0.777846
0,3,9,0.830799,0.761328
0,3,10,0.83536,0.768817
0,3,11,0.864552,0.799817
0,3,12,0.840192,0.780839
0,3,13,0.818462,0.759717
0,3,14,0.828078,0.765829
0,3,15,0.832389,0.762268
0,3,16,0.830569,0.766408
0,3,17,0.824063,0.760785
0,3,18,0.84536,0.784936
0,3,19,0.819744,0.753171
0,3,20,0.846575,0.790491
0,4,1,0.860935,0.857694
0,4,2,0.836174,0.830405
0,4,3,0.820288,0.82813
0,4,4,0.843529,0.830593
0,4,5,0.838062,0.842054
0,4,6,0.874515,0.871836
0,4,7,0.844298,0.846629
0,4,8,0.868151,0.865403
0,4,9,0.842331,0.846485
0,4,10,0.875645,0.869976
0,4,11,0.876008,0.873074
0,4,12,0.870683,0.867663
0,4,13,0.875911,0.872703
0,4,14,0.838235,0.831463
0,4,15,0.843856,0.841129
0,4,16,0.866753,0.867332
0,4,17,0.839671,0.836465
0,4,18,0.872287,0.869665
0,4,19,0.869925,0.865398
0,4,20,0.864101,0.874963
0,5,1,0.865796,0.829201
0,5,2,0.813797,0.740538
0,5,3,0.890661,0.840169
0,5,4,0.807563,0.735091
0,5,5,0.807308,0.742746
0,5,6,0.872489,0.829507
0,5,7,0.813575,0.745452
0,5,8,0.812903,0.741706
0,5,9,0.80778,0.740745
0,5,10,0.807709,0.741525
0,5,11,0.886935,0.8378
0,5,12,0.881947,0.82644
0,5,13,0.809324,0.740854
0,5,14,0.812252,0.738857
0,5,15,0.813841,0.743161
0,5,16,0.880646,0.844689
0,5,17,0.814551,0.750517
0,5,18,0.791348,0.727452
0,5,19,0.812789,0.74204
0,5,20,0.80595,0.737452
0,6,1,0.89164,0.801589
0,6,2,0.889438,0.785986
0,6,3,0.839613,0.779962
0,6,4,0.88544,0.798424
0,6,5,0.893555,0.762874
0,6,6,0.891532,0.775452
0,6,7,0.885556,0.78295
0,6,8,0.823122,0.754101
0,6,9,0.854938,0.789494
0,6,10,0.870658,0.787532
0,6,11,0.887139,0.756489
0,6,12,0.886051,0.786954
0,6,13,0.843913,0.79007
0,6,14,0.879978,0.796793
0,6,15,0.846032,0.796239
0,6,16,0.824595,0.76347
0,6,17,0.828865,0.764814
0,6,18,0.878056,0.776368
0,6,19,0.887227,0.781144
0,6,20,0.829884,0.755616
0,7,1,0.91666,0.792281
0,7,2,0.910011,0.775519
0,7,3,0.912349,0.785313
0,7,4,0.886635,0.751897
0,7,5,0.873267,0.747762
0,7,6,0.921029,0.792283
0,7,7,0.914844,0.782456
0,7,8,0.886091,0.754208
0,7,9,0.919027,0.777779
0,7,10,0.910859,0.770709
0,7,11,0.88451,0.764674
0,7,12,0.924179,0.785474
0,7,13,0.900093,0.777715
0,7,14,0.915921,0.787384
0,7,15,0.925676,0.765576
0,7,16,0.920865,0.79229
0,7,17,0.918716,0.802303
0,7,18,0.910138,0.768256
0,7,19,0.882915,0.747159
0,7,20,0.907217,0.790388
0,8,1,0.739345,0.230333
0,8,2,0.851129,0.478959
0,8,3,0.760472,0.262996
0,8,4,0.830388,0.430544
0,8,5,0.745786,0.265228
0,8,6,0.736862,0.302628
0,8,7,0.846414,0.508967
0,8,8,0.754107,0.29063
0,8,9,0.743753,0.308664
0,8,10,0.853804,0.485626
0,8,11,0.83366,0.471948
0,8,12,0.838787,0.495156
0,8,13,0.758086,0.26041
0,8,14,0.850772,0.491963
0,8,15,0.767668,0.306385
0,8,16,0.825758,0.472159
0,8,17,0.7557,0.315955
0,8,18,0.753222,0.222403
0,8,19,0.84612,0.466981
0,8,20,0.739997,0.319079
0,9,1,0.776773,0.8705
0,9,2,0.848443,0.873048
0,9,3,0.787415,0.889178
0,9,4,0.774211,0.856876
0,9,5,0.869125,0.820377
0,9,6,0.791546,0.852971
0,9,7,0.789306,0.872453
0,9,8,0.780663,0.871947
0,9,9,0.781311,0.880568
0,9,10,0.778236,0.868421
0,9,11,0.775185,0.875473
0,9,12,0.790861,0.864685
0,9,13,0.818258,0.856181
0,9,14,0.756939,0.836004
0,9,15,0.753621,0.831918
0,9,16,0.773011,0.871869
0,9,17,0.816926,0.881083
0,9,18,0.758142,0.83303
0,9,19,0.786459,0.884174
0,9,20,0.782756,0.888872
0,10,1,0.894156,0.853124
0,10,2,0.89647,0.85551
0,10,3,0.895832,0.855409
0,10,4,0.89399,0.848995
0,10,5,0.8952,0.85492
0,10,6,0.895812,0.847027
0,10,7,0.895408,0.860736
0,10,8,0.896443,0.858053
0,10,9,0.897094,0.848942
0,10,10,0.895509,0.857969
0,10,11,0.8922,0.851086
0,10,12,0.896809,0.862466
0,10,13,0.89659,0.853597
0,10,14,0.896774,0.855258
0,10,15,0.90372,0.828843
0,10,16,0.89478,0.849539
0,10,17,0.896155,0.854056
0,10,18,0.89706,0.85574
0,10,19,0.895711,0.850828
0,10,20,0.893485,0.861558
0,11,1,0.767647,0.693393
0,11,2,0.820944,0.603687
0,11,3,0.825688,0.612335
0,11,4,0.800279,0.661685
0,11,5,0.786351,0.672677
0,11,6,0.81599,0.6358
0,11,7,0.814723,0.633158
0,11,8,0.807062,0.654726
0,11,9,0.802765,0.649741
0,11,10,0.816497,0.631456
0,11,11,0.815169,0.608087
0,11,12,0.745836,0.708453
0,11,13,0.807563,0.617061
0,11,14,0.784428,0.651325
0,11,15,0.815138,0.654349
0,11,16,0.761363,0.700104
0,11,17,0.792867,0.598901
0,11,18,0.827086,0.613034
0,11,19,0.734906,0.710799
0,11,20,0.777652,0.686625
0,12,1,0.772365,0.732777
0,12,2,0.767876,0.756234
0,12,3,0.737353,0.759713
0,12,4,0.770687,0.731237
0,12,5,0.762441,0.759385
0,12,6,0.76068,0.692521
0,12,7,0.769162,0.71846
0,12,8,0.747208,0.748889
0,12,9,0.753483,0.757018
0,12,10,0.800146,0.647696
0,12,11,0.761033,0.760742
0,12,12,0.760781,0.744948
0,12,13,0.759596,0.76889
0,12,14,0.756252,0.755625
0,12,15,0.764264,0.750305
0,12,16,0.759364,0.756719
0,12,17,0.746032,0.759863
0,12,18,0.755503,0.76443
0,12,19,0.770298,0.713016
0,12,20,0.762356,0.752606
1,1,1,0.792866,0.521112
1,1,2,0.794862,0.484488
1,1,3,0.786962,0.48842
1,1,4,0.825245,0.553166
1,1,5,0.803886,0.513771
1,1,6,0.789391,0.532486
1,1,7,0.809921,0.518867
1,1,8,0.795791,0.526959
1,1,9,0.809591,0.536601
1,1,10,0.818138,0.509583
1,1,11,0.854906,0.580016
1,1,12,0.787112,0.517289
1,1,13,0.794191,0.494293
1,1,14,0.793968,0.524468
1,1,15,0.798071,0.524613
1,1,16,0.789473,0.501409
1,1,17,0.801601,0.502152
1,1,18,0.78964,0.529271
1,1,19,0.776734,0.469156
1,1,20,0.793751,0.526448
1,2,1,0.889134,0.74899
1,2,2,0.890878,0.765119
1,2,3,0.899861,0.752698
1,2,4,0.873775,0.729625
1,2,5,0.886116,0.751229
1,2,6,0.895365,0.75813
1,2,7,0.89636,0.756968
1,2,8,0.900328,0.770823
1,2,9,0.887526,0.749837
1,2,10,0.90721,0.773674
1,2,11,0.882544,0.729175
1,2,12,0.893815,0.757227
1,2,13,0.888363,0.740666
1,2,14,0.887186,0.749113
1,2,15,0.884569,0.748114
1,2,16,0.89713,0.746379
1,2,17,0.893067,0.766394
1,2,18,0.886637,0.749171
1,2,19,0.89635,0.750538
1,2,20,0.894947,0.743952
1,3,1,0.825519,0.752878
1,3,2,0.854479,0.787671
1,3,3,0.81035,0.759178
1,3,4,0.848431,0.778985
1,3,5,0.82824,0.758862
1,3,6,0.822575,0.762049
1,3,7,0.872688,0.828503
1,3,8,0.829689,0.761486
1,3,9,0.823006,0.759893
1,3,10,0.841391,0.765774
1,3,11,0.814996,0.750326
1,3,12,0.803175,0.741697
1,3,13,0.827485,0.756359
1,3,14,0.81332,0.751872
1,3,15,0.829993,0.757259
1,3,16,0.829139,0.76071
1,3,17,0.827671,0.758728
1,3,18,0.828453,0.768964
1,3,19,0.814174,0.748743
1,3,20,0.826386,0.759928
1,4,1,0.83093,0.829531
1,4,2,0.830651,0.827853
1,4,3,0.862842,0.860502
1,4,4,0.864195,0.857682
1,4,5,0.828836,0.826311
1,4,6,0.824096,0.81597
1,4,7,0.870138,0.864402
1,4,8,0.826274,0.821258
1,4,9,0.831984,0.829577
1,4,10,0.863316,0.855798
1,4,11,0.824256,0.818263
1,4,12,0.86182,0.857412
1,4,13,0.868945,0.859669
1,4,14,0.830522,0.828853
1,4,15,0.819607,0.817102
1,4,16,0.837635,0.832721
1,4,17,0.830884,0.830089
1,4,18,0.814724,0.813515
1,4,19,0.816728,0.814417
