modelversion,infiltration1,infiltration2,infiltration3,quickflow1,quickflow2,quickflow3,aet1,aet2,aet3,baseflow1,baseflow2,baseflow3,snowbalance1,snowbalance2,snowbalance3,pet1,pet2,pet3,potmelt1,potmelt2,potmelt3,comment
0,INF_HMETS,INF_VIC_ARNO,INF_HBV,BASE_LINEAR_ANALYTIC,BASE_VIC,BASE_TOPMODEL,SOILEVAP_ALL,SOILEVAP_TOPMODEL,,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_HBV,PET_OUDIN,,,POTMELT_HMETS,,,
1,INF_HMETS,INF_VIC_ARNO,INF_HBV,BASE_LINEAR_ANALYTIC,BASE_VIC,BASE_TOPMODEL,SOILEVAP_ALL,SOILEVAP_TOPMODEL,,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_HBV,PET_DATA,,,POTMELT_HMETS,,,
2,INF_HMETS,INF_VIC_ARNO,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_VIC,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_TOPMODEL,,BASE_POWER_LAW,BASE_THRESH_POWER,,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_CRHM_EBSM,PET_DATA,,,POTMELT_HMETS,,,
3,INF_HMETS,INF_VIC_ARNO,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_VIC,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_TOPMODEL,,BASE_POWER_LAW,BASE_THRESH_POWER,,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_CRHM_EBSM,PET_DATA,,,POTMELT_HMETS,,,plus abstraction+ depression
4,INF_HMETS,INF_VIC_ARNO,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_VIC,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_TOPMODEL,SOILEVAP_SEQUEN,BASE_POWER_LAW,BASE_THRESH_POWER,,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_CRHM_EBSM,PET_DATA,,,POTMELT_HMETS,,,
5,INF_HMETS,INF_GR4J,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_LINEAR,SOILEVAP_SEQUEN,BASE_POWER_LAW,BASE_THRESH_POWER,BASE_VIC,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_CRHM_EBSM,PET_DATA,,,POTMELT_HMETS,,,
6,INF_HMETS,INF_GR4J,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_LINEAR,SOILEVAP_SEQUEN,BASE_POWER_LAW,BASE_THRESH_POWER,BASE_VIC,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_CRHM_EBSM,PET_OUDIN,PET_PENMAN_SIMPLE33,PET_PENMAN_SIMPLE39,POTMELT_HMETS,,,
7,INF_HMETS,INF_GR4J,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_LINEAR,SOILEVAP_SEQUEN,BASE_POWER_LAW,BASE_THRESH_POWER,BASE_VIC,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_CRHM_EBSM,PET_OUDIN,PET_PENMAN_SIMPLE33,PET_PENMAN_SIMPLE39,POTMELT_HMETS,POTMELT_RESTRICTED,POTMELT_CRHM_EBSM,
8,INF_HMETS,INF_VIC_ARNO,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_LINEAR,SOILEVAP_SEQUEN,BASE_POWER_LAW,BASE_THRESH_POWER,BASE_VIC,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_HBV,PET_OUDIN,PET_PENMAN_SIMPLE33,PET_LINACRE,POTMELT_RESTRICTED,POTMELT_EB,POTMELT_CRHM_EBSM,
9,INF_HMETS,INF_VIC_ARNO,INF_GA_SIMPLE,BASE_LINEAR_ANALYTIC,BASE_POWER_LAW,BASE_THRESH_POWER,SOILEVAP_ALL,SOILEVAP_LINEAR,SOILEVAP_SEQUEN,BASE_POWER_LAW,BASE_THRESH_POWER,BASE_VIC,SNOBAL_HMETS,SNOBAL_SIMPLE_MELT,SNOBAL_HBV,PET_OUDIN,PET_GRANGERGRAY,PET_LINACRE,POTMELT_HMETS,POTMELT_EB,POTMELT_CRHM_EBSM,
