basin_id;basin_name;lat;lon;area_km2;elevation_m;slope_deg;forest_frac;basintype
01608500;SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV;38.84888301;-79.21411184;3782.355141;661.3736944;11.02152571;0.0807789;MOPEX
01643000;MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD;39.63482804;-77.25715588;2115.115777;194.633914;3.09352526;0.00713578;MOPEX
01668000;RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA;38.50062696;-78.04486904;4129.265195;207.278167;4.19280089;0.05517313;MOPEX
03054500;TYGART VALLEY RIVER AT PHILIPPI, WV;38.8432268;-80.04670235;2366.237234;718.7222803;8.64111973;0.08638272;MOPEX
03179000;BLUESTONE RIVER NEAR PIPESTEM, WV;37.38943018;-81.19780865;1022.607995;793.1510451;8.26083993;0.04080048;MOPEX
03364000;EAST FORK WHITE RIVER AT COLUMBUS, IN;39.63606544;-85.70257359;4419.219867;268.7677354;0.55685714;2.74e-06;MOPEX
03451500;FRENCH BROAD RIVER AT ASHEVILLE, NC;35.39065847;-82.603035;2446.492545;829.7538356;8.83340236;0.03126094;MOPEX
05455500;English River at Kalona, IA;41.5601883;-92.18420881;1486.017694;253.4808954;1.61715663;0.03950676;MOPEX
07186000;Spring River near Waco, MO;37.26175768;-94.14560752;3013.457484;331.5045914;0.81471549;5.41e-05;MOPEX
07378500;Amite River near Denham Springs, LA;30.94543739;-90.90736981;3313.76768;82.40126818;0.95572406;0.07206475;MOPEX
08167500;Guadalupe Rv nr Spring Branch, TX;30.00228906;-99.06002823;3404.378515;544.4114856;2.71371877;4.69e-05;MOPEX
08172000;San Marcos Rv at Luling, TX;29.92610908;-98.10476927;2169.482278;298.7974532;1.84936096;0.00273552;MOPEX
01017000;Aroostook River at Washburn, ME;46.52888819;-68.58472969;4282.009174;274.9080675;3.04210799;0.59256027;NEWCATCHMENTS
01122500;SHETUCKET RIVER NEAR WILLIMANTIC, CT;41.85929381;-72.24467823;1045.907924;195.2515331;3.67840438;0.25655192;NEWCATCHMENTS
01318500;HUDSON RIVER AT HADLEY, NY;43.77917035;-74.00999711;4307.897984;528.8806065;8.14425332;0.52910457;NEWCATCHMENTS
02472000;LEAF RIVER NR COLLINS, MS;32.04471664;-89.44987815;1923.538583;125.4847987;1.36617032;0.31862637;NEWCATCHMENTS
03434500;HARPETH RIVER NEAR KINGSTON SPRINGS, TN;35.93346933;-86.93686836;1768.205723;236.8112322;3.35116283;0.05099792;NEWCATCHMENTS
10150500;SPANISH FORK AT CASTILLA, UT;39.95320284;-111.4004414;1687.950412;2169.840069;13.10299173;0.00517793;NEWCATCHMENTS
11189500;SF KERN R NR ONYX, CA;36.05756765;-118.1894313;1372.10693;2357.579894;11.31192979;0.40564456;NEWCATCHMENTS
11272500;MERCED R NR STEVINSON, CA;37.64350585;-119.8943578;3295.645513;1383.307629;11.80469211;0.00889233;NEWCATCHMENTS
11276500;TUOLUMNE R NR HETCH HETCHY, CA;37.97109169;-119.4840295;1183.118617;2712.80948;16.91965159;1.63e-05;NEWCATCHMENTS
13073000;PORTNEUF RIVER AT TOPAZ, ID;42.78073996;-111.9456066;1491.195456;1844.388288;7.0976735;0.00609102;NEWCATCHMENTS
13139500;BIG WOOD RIVER AT HAILEY, ID;43.70717339;-114.4282886;1656.88384;2347.516925;19.16146171;0.000863;NEWCATCHMENTS
13200000;MORES CREEK AB ROBIE CREEK NR ARROWROCK DAM, ID;43.84615079;-115.8796011;1027.785757;1552.12652;12.70384411;0.00384751;NEWCATCHMENTS
02056000;ROANOKE RIVER AT NIAGARA, VA;37.24838107;-80.13746263;1317.740429;536.1774653;8.07900608;0.01607382;NEWCATCHMENTS
02225500;OHOOPEE RIVER NEAR REIDSVILLE, GA;32.51639074;-82.47222204;2873.65791;85.86514384;1.00368892;0.04945274;NEWCATCHMENTS
02322500;SANTA FE RIVER NEAR FORT WHITE, FL;29.91046737;-82.38415214;2632.891977;38.92742336;0.2148833;0.01999821;NEWCATCHMENTS
03249500;LICKING RIVER AT FARMERS, KY;37.87265645;-83.25542829;2141.004587;321.7116534;7.11159002;0.25554276;NEWCATCHMENTS
04208000;Cuyahoga River at Independence, OH;41.25823305;-81.38442374;1830.338867;332.7362016;1.73409978;0.000186;NEWCATCHMENTS
05356000;CHIPPEWA RIVER AT BISHOPS BRIDGE NEAR WINTER, WI;46.06035683;-90.90715108;2045.21599;447.6637574;1.45939356;0.16962255;NEWCATCHMENTS
05594800;SILVER CREEK NEAR FREEBURG, IL;38.73201236;-89.79307756;1201.240784;158.5004794;0.51084016;0.1136484;NEWCATCHMENTS
06890900;DELAWARE R AT PERRY, KS;39.51310992;-95.62357595;2953.913221;338.8961245;1.43383283;0.000981;NEWCATCHMENTS
13235000;SOUTH FORK PAYETTE RIVER AT LOWMAN, ID;44.14180783;-115.3060306;1154.640926;2084.082474;20.93060256;0.00901986;NEWCATCHMENTS
07069500;Spring River at Imboden, AR;36.46798323;-91.60580056;3054.87958;229.6835704;2.77035075;0.03521406;NEWCATCHMENTS
07147070;WHITEWATER R AT TOWANDA, KS;37.96576812;-97.08683434;1102.863306;429.1785928;0.56513;0.0026554;NEWCATCHMENTS
13292000;IMNAHA RIVER AT IMNAHA, OR;45.31868248;-116.9598177;1610.283982;1561.791496;16.0327645;0.75482192;NEWCATCHMENTS
